book_num,chap_num,term_str,n,tfidf
1,1,(,1,0.021201996712390495
1,1,),1,0.021201996712390495
1,1,",",70,0.0
1,1,--,1,0.0019549212228191573
1,1,14th,1,0.04983930787521258
1,1,a,14,0.003194922060833418
1,1,accomplished,1,0.016159216533759835
1,1,accordingly,1,0.04121861822004017
1,1,acknowledge,1,0.0275551483862371
1,1,acquit,1,0.04983930787521258
1,1,act,1,0.009318275822272133
1,1,actual,1,0.02397723890969534
1,1,actuate,1,0.04983930787521258
1,1,add,1,0.016159216533759835
1,1,addition,1,0.032597928564867755
1,1,addressed,1,0.03617583804140951
1,1,administration,2,0.014261437985134212
1,1,adopt,1,0.021201996712390495
1,1,adore,1,0.04983930787521258
1,1,adorn,1,0.04983930787521258
1,1,advanced,1,0.021201996712390495
1,1,advancement,1,0.021201996712390495
1,1,advantage,1,0.017017282685060822
1,1,advantageously,1,0.04121861822004017
1,1,affairs,1,0.009806064859913234
1,1,affected,1,0.029822686367562908
1,1,affectionate,1,0.03617583804140951
1,1,affections,1,0.0275551483862371
1,1,again,1,0.008396593029888409
1,1,against,1,0.003960617402045666
1,1,agency,1,0.029822686367562908
1,1,aids,1,0.0275551483862371
1,1,all,3,0.0
1,1,allotted,1,0.03617583804140951
1,1,almighty,1,0.01031376907589227
1,1,along,1,0.020016621507649674
1,1,alteration,1,0.04121861822004017
1,1,am,1,0.005270988897261613
1,1,american,2,0.006707625702515505
1,1,among,1,0.0033538128512577525
1,1,an,10,0.0022820871863095844
1,1,and,48,0.0
1,1,animosities,1,0.0275551483862371
1,1,another,1,0.007130718992567106
1,1,anticipation,1,0.03617583804140951
1,1,anxieties,1,0.03617583804140951
1,1,any,1,0.0014366368052538903
1,1,appreciation,1,0.03617583804140951
1,1,ardent,1,0.022512368207606444
1,1,arduous,1,0.022512368207606444
1,1,are,3,0.0
1,1,arising,1,0.03617583804140951
1,1,article,2,0.059645372735125816
1,1,as,14,0.003194922060833418
1,1,assemblage,1,0.03617583804140951
1,1,assembled,1,0.022512368207606444
1,1,assure,2,0.04502473641521289
1,1,asylum,1,0.04983930787521258
1,1,at,2,0.001395172334199439
1,1,attachments,1,0.03617583804140951
1,1,attention,1,0.013891678552434027
1,1,attributes,1,0.03617583804140951
1,1,auspiciously,1,0.04983930787521258
1,1,author,1,0.025637972340233236
1,1,aver,1,0.04983930787521258
1,1,avoid,1,0.020016621507649674
1,1,await,1,0.029822686367562908
1,1,awaken,1,0.04983930787521258
1,1,awakened,1,0.032597928564867755
1,1,be,23,0.0
1,1,been,7,0.0032247828683639908
1,1,before,1,0.002222394460927989
1,1,behold,1,0.04983930787521258
1,1,being,4,0.03539559349521349
1,1,benediction,1,0.03617583804140951
1,1,benefits,1,0.015356549254522926
1,1,benign,1,0.02397723890969534
1,1,besides,1,0.032597928564867755
1,1,between,3,0.020207578798051542
1,1,birth,1,0.018934458731064686
1,1,blessing,1,0.020016621507649674
1,1,blessings,1,0.012581307057218081
1,1,bound,1,0.017017282685060822
1,1,brief,1,0.02397723890969534
1,1,brings,1,0.029822686367562908
1,1,but,3,0.0006846261558928752
1,1,by,20,0.0
1,1,call,1,0.009806064859913234
1,1,called,1,0.007130718992567106
1,1,can,9,0.004146149402182274
1,1,care,1,0.010843084116100401
1,1,carefully,1,0.0275551483862371
1,1,cares,1,0.04983930787521258
1,1,character,1,0.008848898373803373
1,1,characteristic,1,0.04983930787521258
1,1,characters,1,0.029822686367562908
1,1,charge,1,0.02397723890969534
1,1,charter,1,0.032597928564867755
1,1,chosen,1,0.014602559243744139
1,1,circumstance,1,0.04121861822004017
1,1,circumstances,2,0.025162614114436162
1,1,citizens,2,0.007307029463906482
1,1,civil,1,0.007960161365492133
1,1,collect,1,0.029822686367562908
1,1,command,1,0.017938965477444547
1,1,commence,1,0.029822686367562908
1,1,committed,1,0.016159216533759835
1,1,communities,2,0.03231843306751967
1,1,compared,1,0.032597928564867755
1,1,compensation,1,0.032597928564867755
1,1,comprehensive,1,0.03617583804140951
1,1,concerns,1,0.017938965477444547
1,1,conducts,1,0.04983930787521258
1,1,confidence,2,0.007921234804091333
1,1,conflict,1,0.015356549254522926
1,1,congenial,1,0.04983930787521258
1,1,conscious,1,0.022512368207606444
1,1,consecrate,1,0.03617583804140951
1,1,consent,1,0.025637972340233236
1,1,consequences,1,0.018934458731064686
1,1,consideration,1,0.016159216533759835
1,1,considered,1,0.017938965477444547
1,1,consistent,1,0.021201996712390495
1,1,conspicuous,1,0.03617583804140951
1,1,constitution,1,0.005270988897261613
1,1,constitutional,1,0.01031376907589227
1,1,consultations,1,0.04121861822004017
1,1,consulted,1,0.04983930787521258
1,1,contemplated,1,0.04121861822004017
1,1,continuance,1,0.021201996712390495
1,1,could,3,0.021392156977701318
1,1,councils,1,0.022512368207606444
1,1,country,5,0.005926876023704096
1,1,course,1,0.007960161365492133
1,1,crisis,1,0.018934458731064686
1,1,dare,2,0.05127594468046647
1,1,day,2,0.01270630334769321
1,1,dear,1,0.02397723890969534
1,1,decide,1,0.0275551483862371
1,1,deciding,1,0.04121861822004017
1,1,decision,1,0.018934458731064686
1,1,decline,1,0.0275551483862371
1,1,declining,1,0.03617583804140951
1,1,deeply,1,0.011974502506430165
1,1,defect,1,0.032597928564867755
1,1,deficiencies,1,0.03617583804140951
1,1,defining,1,0.04983930787521258
1,1,degree,1,0.01321924310414719
1,1,delegated,1,0.03617583804140951
1,1,deliberating,1,0.04983930787521258
1,1,deliberations,2,0.059645372735125816
1,1,departed,1,0.04121861822004017
1,1,department,2,0.04003324301529935
1,1,depend,1,0.014602559243744139
1,1,derived,1,0.0275551483862371
1,1,designates,1,0.04983930787521258
1,1,despondence,1,0.04983930787521258
1,1,destiny,1,0.01321924310414719
1,1,devise,1,0.032597928564867755
1,1,difficulty,1,0.025637972340233236
1,1,discernment,1,0.04983930787521258
1,1,disinclination,1,0.04983930787521258
1,1,dispositions,1,0.04121861822004017
1,1,disregards,1,0.04983930787521258
1,1,distinct,1,0.025637972340233236
1,1,distinguished,1,0.016159216533759835
1,1,distrustful,1,0.04983930787521258
1,1,divine,1,0.016159216533759835
1,1,due,1,0.013891678552434027
1,1,during,1,0.013891678552434027
1,1,duties,1,0.006353151673846605
1,1,duty,4,0.01972090854812792
1,1,dwell,1,0.03617583804140951
1,1,economy,1,0.007960161365492133
1,1,effective,1,0.017938965477444547
1,1,either,1,0.010843084116100401
1,1,emoluments,1,0.04983930787521258
1,1,emotions,1,0.03617583804140951
1,1,employed,1,0.017938965477444547
1,1,enable,1,0.020016621507649674
1,1,endanger,1,0.0275551483862371
1,1,endowments,1,0.04983930787521258
1,1,enlarged,1,0.020016621507649674
1,1,entering,1,0.022512368207606444
1,1,entire,1,0.021201996712390495
1,1,entrusted,1,0.04121861822004017
1,1,equal,1,0.006353151673846605
1,1,equally,1,0.017017282685060822
1,1,error,1,0.0275551483862371
1,1,essential,1,0.008848898373803373
1,1,established,2,0.027783357104868053
1,1,establishing,1,0.032597928564867755
1,1,estimates,1,0.04121861822004017
1,1,eternal,1,0.0275551483862371
1,1,eve,1,0.03617583804140951
1,1,event,2,0.04502473641521289
1,1,every,9,0.015237714786478708
1,1,execute,1,0.016159216533759835
1,1,executing,1,0.04121861822004017
1,1,executive,2,0.017697796747606746
1,1,exemplified,1,0.04121861822004017
1,1,exercise,1,0.01321924310414719
1,1,exists,1,0.021201996712390495
1,1,expected,1,0.017938965477444547
1,1,expedient,2,0.05127594468046647
1,1,expenditures,1,0.016159216533759835
1,1,experience,1,0.008848898373803373
1,1,experienced,1,0.029822686367562908
1,1,experiment,1,0.016159216533759835
1,1,expresses,1,0.04121861822004017
1,1,eye,1,0.03617583804140951
1,1,faithful,1,0.01031376907589227
1,1,far,3,0.01581296669178484
1,1,favor,1,0.011974502506430165
1,1,feelings,1,0.022512368207606444
1,1,felicity,1,0.03617583804140951
1,1,fellow-citizens,3,0.02654669512141012
1,1,fervent,1,0.02397723890969534
1,1,fifth,1,0.04983930787521258
1,1,filled,1,0.032597928564867755
1,1,finally,1,0.020016621507649674
1,1,fire,1,0.022512368207606444
1,1,first,2,0.009197106897949555
1,1,flattering,1,0.04983930787521258
1,1,fondest,1,0.04983930787521258
1,1,for,12,0.0
1,1,forced,1,0.02397723890969534
1,1,foregoing,1,0.04121861822004017
1,1,form,1,0.008848898373803373
1,1,former,2,0.04240399342478099
1,1,fortified,1,0.04121861822004017
1,1,foundation,1,0.022512368207606444
1,1,free,2,0.004444788921855978
1,1,freemen,1,0.025637972340233236
1,1,frequent,1,0.032597928564867755
1,1,from,7,0.001597461030416709
1,1,functions,1,0.014602559243744139
1,1,further,1,0.012581307057218081
1,1,future,2,0.005550484394609695
1,1,genuine,1,0.032597928564867755
1,1,give,1,0.004275495643641477
1,1,given,2,0.014261437985134212
1,1,good,3,0.005864763668457472
1,1,government,8,0.011493094442031122
1,1,governments,1,0.008848898373803373
1,1,gradual,1,0.04121861822004017
1,1,grateful,1,0.017938965477444547
1,1,gratitude,1,0.017938965477444547
1,1,great,3,0.0020927585012991586
1,1,greater,1,0.008848898373803373
1,1,guided,1,0.02397723890969534
1,1,habit,1,0.032597928564867755
1,1,had,1,0.005270988897261613
1,1,hand,3,0.03418779555743179
1,1,hands,1,0.010843084116100401
1,1,happiness,3,0.027954827466816403
1,1,harmony,1,0.015356549254522926
1,1,has,5,0.0
1,1,have,12,0.0
1,1,having,1,0.011974502506430165
1,1,he,2,0.00986045427406396
1,1,health,1,0.020016621507649674
1,1,hear,1,0.0275551483862371
1,1,heaven,2,0.04502473641521289
1,1,her,1,0.017017282685060822
1,1,his,5,0.011111972304639945
1,1,homage,1,0.04983930787521258
1,1,honest,1,0.014602559243744139
1,1,honorable,1,0.01321924310414719
1,1,honored,1,0.025637972340233236
1,1,hope,1,0.0027752421973048476
1,1,hopes,1,0.011395931852477262
1,1,house,2,0.04795447781939068
1,1,how,2,0.022791863704954524
1,1,human,2,0.011963739177143452
1,1,humble,2,0.04003324301529935
1,1,i,23,0.005248800528512044
1,1,if,1,0.0011853752047408191
1,1,immutable,2,0.08243723644008034
1,1,imparted,1,0.04121861822004017
1,1,important,1,0.007130718992567106
1,1,impregnably,1,0.04983930787521258
1,1,impressions,2,0.08243723644008034
1,1,improper,1,0.04983930787521258
1,1,in,31,0.0
1,1,inapplicable,1,0.04983930787521258
1,1,incapacity,1,0.04121861822004017
1,1,incident,1,0.0275551483862371
1,1,inclination,1,0.03617583804140951
1,1,included,1,0.03617583804140951
1,1,independent,1,0.014602559243744139
1,1,indispensably,1,0.04983930787521258
1,1,indissoluble,1,0.04983930787521258
1,1,inferior,1,0.032597928564867755
1,1,influence,2,0.016793186059776817
1,1,inheriting,1,0.04983930787521258
1,1,inquietude,1,0.04983930787521258
1,1,inspire,1,0.02397723890969534
1,1,instance,1,0.021201996712390495
1,1,instances,1,0.0275551483862371
1,1,instead,1,0.015356549254522926
1,1,instituted,1,0.029822686367562908
1,1,instrument,1,0.014602559243744139
1,1,interests,1,0.006735859599350514
1,1,interruptions,1,0.04983930787521258
1,1,into,3,0.009183490314376595
1,1,invisible,1,0.04983930787521258
