term_str,x,y,n,dfidf,pos_group
's,10.510366,-25.897818,167,19.342342291834044,PO
(,-4.3551884,-10.677697,18,24.59431618637297,(
),-1.9892185,5.748839,18,24.59431618637297,)
",",-4.1898737,-6.381969,6809,0.0,","
--,-2.8442123,-7.7689834,366,10.658230506810046,:
20,-7.8893814,9.931101,17,28.796246828663442,CD
4,-6.599752,14.627266,30,26.23407353748423,CD
a,8.306853,-26.713068,2150,1.4294994135043235,DT
ability,-3.1513584,-0.3158207,28,28.796246828663442,NN
able,-7.953304,21.344414,21,27.636067080538773,JJ
about,-6.856093,10.473905,39,26.23407353748423,IN
above,3.2984996,-0.6746233,20,28.796246828663442,IN
abroad,-7.3868484,19.758165,34,28.796246828663442,RB
abuses,1.4785715,-15.165306,13,23.502912408741125,NN
accept,-0.7663893,14.979259,24,28.796246828663442,VB
accepted,-10.208504,10.25225,11,22.250877708197276,VB
accomplish,-7.571089,7.3768024,11,22.250877708197276,VB
accomplished,-7.034058,21.899137,16,28.117036768742114,VB
according,-3.4992294,-1.5818279,12,23.502912408741125,VB
achieve,-6.962907,16.434515,18,26.35676655364204,VB
achievement,5.5053906,-3.2218137,11,24.59431618637297,NN
acknowledged,5.088211,-11.390371,11,20.818033540269386,VB
across,10.045715,-16.975754,20,27.051959939986375,IN
act,-8.861045,14.226349,49,28.103919879972757,VB
action,4.0859675,-7.919874,65,27.714749706752166,NN
activities,2.277855,-6.7106266,10,17.297158093186486,NN
acts,5.980931,-10.513947,24,27.051959939986375,NN
actual,3.9305108,-5.805029,14,22.250877708197276,JJ
adapted,-6.3587146,15.645294,12,20.818033540269386,VB
add,-9.354588,20.336515,20,28.117036768742114,VB
added,-3.8178682,18.65193,13,22.250877708197276,VB
additional,-3.4686573,-0.5625493,12,20.818033540269386,JJ
address,-0.66266423,18.173912,10,20.818033540269386,VB
adequate,-7.7181187,17.957512,21,26.35676655364204,JJ
adjustment,-1.2721441,-9.018876,10,22.250877708197276,NN
