term_str,n,p,i,n_chars,max_pos,n_pos,cat_pos,stop,p_stem
the,9792,0.07140825657966703,3.807765294261707,3,DT,2,"{'NNP', 'DT'}",1,the
of,6911,0.050398535664019486,4.3104743731318305,2,IN,2,"{'NNP', 'IN'}",1,of
",",6809,0.049654699657981284,4.331925919102797,1,",",1,"{','}",0,","
and,5043,0.03677612723971209,4.765086626997035,3,CC,2,"{'NNP', 'CC'}",1,and
to,4359,0.03178805049333829,4.975371648600361,2,TO,2,"{'TO', 'NNP'}",1,to
in,2730,0.019908551926316482,5.6504679011471435,2,IN,1,{'IN'},1,in
a,2150,0.01567889620570712,5.995032192477536,1,DT,1,{'DT'},1,a
our,1993,0.014533972157197343,6.104427142115301,3,PRP$,3,"{'PRP$', 'NNP', 'JJ'}",1,our
that,1679,0.012244124060177792,6.351766622017329,4,IN,3,"{'WDT', 'DT', 'IN'}",1,that
we,1567,0.011427362955508398,6.451363672481778,2,PRP,1,{'PRP'},1,we
be,1450,0.010574139301523405,6.563315952052062,2,VB,1,{'VB'},1,be
is,1386,0.010107418670283752,6.628441594817145,2,VBZ,1,{'VBZ'},1,is
it,1349,0.009837595805348327,6.667478504006091,2,PRP,1,{'PRP'},1,it
for,1134,0.008269706184777615,6.91794821201213,3,IN,1,{'IN'},1,for
by,1060,0.0077300604549067654,7.015304587503797,2,IN,2,"{'NNP', 'IN'}",1,by
which,999,0.00728521735325647,7.10081226916194,5,WDT,1,{'WDT'},1,which
have,982,0.007161244685583437,7.125573922639666,4,VBP,3,"{'VB', 'NNP', 'VBP'}",1,have
not,952,0.0069424693896898496,7.170335373646416,3,RB,1,{'RB'},1,not
with,924,0.006738279113522501,7.213404095538301,4,IN,1,{'IN'},1,with
as,922,0.006723694093796262,7.216530196525021,2,IN,3,"{'RB', 'IN', 'JJ'}",1,as
will,832,0.006067368206115499,7.364713418813267,4,MD,1,{'MD'},1,will
i,827,0.0060309056567999005,7.373409617783084,1,PRP,1,{'PRP'},1,i
this,787,0.005739205262275117,7.4449333114468725,4,DT,1,{'DT'},1,thi
all,784,0.005717327732685759,7.45044329283915,3,DT,5,"{'PDT', 'VB', 'RB', 'DT', 'NNP'}",1,all
are,757,0.00552042996638153,7.501003646968627,3,VBP,3,"{'NNP', 'IN', 'VBP'}",1,are
their,731,0.00533082470994042,7.5514255410019215,5,PRP$,1,{'PRP$'},1,their
but,608,0.00443384599677671,7.817225623510773,3,CC,1,{'CC'},1,but
has,599,0.004368213408008634,7.838740944165573,3,VBZ,1,{'VBZ'},1,ha
government,562,0.004098390543073209,7.930726816733433,10,NNP,2,"{'NN', 'NNP'}",0,govern
its,557,0.004061927993757612,7.943619619614327,3,PRP$,1,{'PRP$'},1,it
people,556,0.004054635483894492,7.946212064230851,6,NNS,1,{'NNS'},0,peopl
from,545,0.003974417875400177,7.97504071729007,4,IN,1,{'IN'},1,from
or,531,0.003872322737316502,8.012585086150205,2,CC,1,{'CC'},1,or
on,506,0.0036900099907385127,8.082159562260049,2,IN,1,{'IN'},1,on
can,494,0.0036024998723810774,8.116785905369682,3,MD,1,{'MD'},1,can
my,489,0.0035660373230654795,8.131462482002124,2,PRP$,1,{'PRP$'},1,my
been,475,0.0034639421849818053,8.173369433736049,4,VBN,1,{'VBN'},1,been
no,446,0.003252459398951337,8.264253237034055,2,DT,2,"{'RB', 'DT'}",1,no
us,433,0.0031576567707307826,8.306929922227633,2,PRP,1,{'PRP'},0,us
they,424,0.0030920241819627063,8.337232682391159,4,PRP,1,{'PRP'},1,they
an,376,0.0027419837085329657,8.510564285276722,2,DT,1,{'DT'},1,an
so,370,0.0026982286493542483,8.533771676438047,2,RB,3,"{'RB', 'IN', 'JJ'}",1,so
upon,368,0.002683643629628009,8.541591180897345,4,IN,6,"{'NNS', 'RB', 'IN', 'RP', 'JJ', 'NN'}",0,upon
--,366,0.00266905860990177,8.549453298670317,2,:,1,{':'},0,--
who,347,0.0025305009225024978,8.626361284376097,3,WP,1,{'WP'},1,who
must,339,0.002472160843597541,8.660011673818016,4,MD,2,"{'NNP', 'MD'}",0,must
at,334,0.002435698294281943,8.681448844480306,2,IN,1,{'IN'},1,at
may,331,0.002413820764692584,8.694465730147142,3,MD,2,"{'NNP', 'MD'}",0,may
great,330,0.0024065282548294646,8.698830922708543,5,JJ,2,"{'NNP', 'JJ'}",0,great
states,328,0.0023919432351032256,8.707601132336276,6,NNPS,4,"{'NNS', 'NNPS', 'VBZ', 'NNP'}",0,state
should,326,0.002377358215376986,8.71642498272328,6,MD,1,{'MD'},1,should
them,323,0.0023554806857876277,8.729762782260433,4,PRP,1,{'PRP'},1,them
world,316,0.0023044331167457904,8.761372388777255,5,NN,2,"{'NN', 'NNP'}",0,world
shall,311,0.0022679705674301925,8.784382366823756,5,MD,4,"{'NN', 'JJ', 'PDT', 'MD'}",0,shall
those,306,0.0022315080181145946,8.807765294261706,5,DT,1,{'DT'},1,those
more,302,0.002202337978662116,8.826748397629279,4,RBR,2,"{'RBR', 'JJR'}",1,more
country,297,0.0021658754293465182,8.850834016153593,7,NN,2,"{'NN', 'NNP'}",0,countri
nation,286,0.0020856578208522025,8.90528180017597,6,NN,2,"{'NN', 'NNP'}",0,nation
if,285,0.002078365310989083,8.910335027902255,2,IN,1,{'IN'},1,if
every,276,0.0020127327222210067,8.95662868017619,5,DT,1,{'DT'},0,everi
any,276,0.0020127327222210067,8.95662868017619,3,DT,1,{'DT'},1,ani
these,269,0.0019616851531791698,8.993690774397734,5,DT,1,{'DT'},1,these
was,263,0.0019179300940004522,9.026234147662056,3,VBD,1,{'VBD'},1,wa
other,257,0.0018741750348217345,9.05952858776048,5,JJ,2,"{'NNP', 'JJ'}",1,other
there,248,0.0018085424460536582,9.110956826567485,5,EX,2,"{'EX', 'RB'}",1,there
peace,247,0.0018012499361905387,9.116785905369682,5,NN,5,"{'VB', 'NNP', 'VBP', 'JJ', 'NN'}",0,peac
own,244,0.00177937240660118,9.134415799391473,3,JJ,3,"{'VB', 'VBP', 'JJ'}",1,own
one,239,0.0017429098572855819,9.16428632897361,3,CD,2,"{'NN', 'CD'}",0,one
only,235,0.0017137398178331037,9.188636190389358,4,RB,2,"{'RB', 'JJ'}",1,onli
power,227,0.0016553997389281469,9.238604649663444,5,NN,2,"{'NN', 'NNP'}",0,power
than,226,0.0016481072290650274,9.244974174539172,4,IN,1,{'IN'},1,than
public,226,0.0016481072290650274,9.244974174539172,6,JJ,3,"{'NN', 'NNP', 'JJ'}",0,public
new,224,0.0016335222093387882,9.257798214896754,3,JJ,2,"{'NNP', 'JJ'}",0,new
do,221,0.0016116446797494295,9.277250577562928,2,VB,2,"{'VB', 'VBP'}",1,do
such,219,0.0015970596600231902,9.290366077353186,4,JJ,3,"{'VB', 'PDT', 'JJ'}",1,such
would,210,0.001531427071255114,9.350907619288236,5,MD,1,{'MD'},0,would
now,207,0.001509549541665755,9.371666179455033,3,RB,1,{'RB'},1,now
his,207,0.001509549541665755,9.371666179455033,3,PRP$,1,{'PRP$'},1,hi
constitution,206,0.0015022570318026355,9.378652609771141,12,NNP,2,"{'NN', 'NNP'}",0,constitut
when,198,0.001443916952897679,9.435796516874749,4,WRB,1,{'WRB'},1,when
time,198,0.001443916952897679,9.435796516874749,4,NN,2,"{'NN', 'NNP'}",0,time
under,197,0.0014366244430345592,9.443101317497982,5,IN,1,{'IN'},1,under
united,194,0.0014147469134452005,9.46524029476723,6,NNP,4,"{'VBD', 'NNP', 'VBN', 'JJ'}",0,unit
nations,191,0.0013928693838558416,9.48772430891861,7,NNS,3,"{'NNS', 'NNPS', 'NNP'}",0,nation
union,187,0.0013636993444033634,9.518258677066722,5,NNP,2,"{'NN', 'NNP'}",0,union
me,186,0.0013564068345402437,9.525994325846327,2,PRP,1,{'PRP'},1,me
freedom,180,0.0013126517753615263,9.573300040624684,7,NN,6,"{'VBZ', 'JJ', 'VB', 'RP', 'VBP', 'NN'}",0,freedom
america,178,0.001298066755635287,9.589419705987961,7,NNP,1,{'NNP'},0,america
free,177,0.0012907742457721673,9.597547586871361,4,JJ,2,"{'VB', 'JJ'}",0,free
war,170,0.0012397266767303302,9.655762200816657,3,NN,2,"{'NN', 'NNP'}",0,war
most,169,0.0012324341668672107,9.664273700672174,4,RBS,3,"{'RBS', 'JJS', 'NNP'}",1,most
's,167,0.0012178491471409715,9.681448844480306,2,POS,2,"{'VBZ', 'POS'}",0,'s
you,163,0.001188679107688493,9.71642498272328,3,PRP,1,{'PRP'},1,you
what,158,0.0011522165583728952,9.761372388777255,4,WP,2,"{'WDT', 'WP'}",1,what
national,154,0.0011230465189204168,9.798366596259457,8,JJ,2,"{'NNP', 'JJ'}",0,nation
made,152,0.0011084614991941776,9.817225623510774,4,VBN,2,"{'VBD', 'VBN'}",0,made
citizens,146,0.0010647064400154602,9.875328578074342,8,NNS,1,{'NNS'},0,citizen
american,146,0.0010647064400154602,9.875328578074342,8,JJ,2,"{'NNP', 'JJ'}",0,american
let,142,0.0010355364005629818,9.915406017449676,3,VB,4,"{'VB', 'VBD', 'VBP', 'VBN'}",0,let
good,141,0.0010282438906998623,9.925601784555566,4,JJ,3,"{'NN', 'NNP', 'JJ'}",0,good
without,137,0.0009990738512473838,9.967121053993832,7,IN,1,{'IN'},0,without
men,137,0.0009990738512473838,9.967121053993832,3,NNS,2,"{'NNS', 'NN'}",0,men
were,136,0.0009917813413842641,9.97769029570402,4,VBD,1,{'VBD'},1,were
rights,135,0.0009844888315211446,9.988337539903528,6,NNS,2,"{'NNS', 'NNPS'}",0,right
justice,134,0.0009771963216580251,9.999063946496586,7,NN,4,"{'NN', 'NNP', 'RB', 'VB'}",0,justic
years,134,0.0009771963216580251,9.999063946496586,5,NNS,1,{'NNS'},0,year
spirit,133,0.0009699038117949054,10.009870701453169,6,NN,2,"{'NN', 'JJ'}",0,spirit
laws,132,0.0009626113019317858,10.020759017595905,4,NNS,1,{'NNS'},0,law
had,131,0.0009553187920686662,10.03173013541691,3,VBD,2,"{'VBD', 'VBN'}",1,had
make,131,0.0009553187920686662,10.03173013541691,4,VB,4,"{'VB', 'NN', 'NNP', 'VBP'}",0,make
life,130,0.0009480262822055467,10.042785323925905,4,NN,1,{'NN'},0,life
congress,128,0.0009334412624793075,10.06515313695436,8,NNP,2,"{'NN', 'NNP'}",0,congress
law,125,0.0009115637328899487,10.099368852292272,3,NN,1,{'NN'},0,law
before,123,0.0008969787131637095,10.12263863161512,6,IN,2,"{'RB', 'IN'}",1,befor
into,123,0.0008969787131637095,10.12263863161512,4,IN,1,{'IN'},1,into
best,120,0.0008751011835743508,10.15826254134584,4,JJS,5,"{'JJS', 'RBS', 'VB', 'RB', 'VBP'}",0,best
never,119,0.0008678086737112312,10.170335373646415,5,RB,1,{'RB'},0,never
each,117,0.000853223653984992,10.194788417370955,4,DT,1,{'DT'},1,each
duty,116,0.0008459311441218724,10.207172141826787,4,NN,1,{'NN'},0,duti
just,115,0.0008386386342587529,10.219663086009984,4,RB,1,{'RB'},1,just
liberty,114,0.0008313461243956333,10.232263122789616,7,NN,4,"{'NN', 'VBZ', 'NNP', 'VB'}",0,liberti
hope,112,0.0008167611046693941,10.257798214896754,4,NN,4,"{'NN', 'NNP', 'VBP', 'VB'}",0,hope
against,112,0.0008167611046693941,10.257798214896754,7,IN,1,{'IN'},1,against
well,112,0.0008167611046693941,10.257798214896754,4,RB,3,"{'NN', 'RB', 'IN'}",0,well
right,112,0.0008167611046693941,10.257798214896754,5,NN,3,"{'NN', 'RB', 'JJ'}",0,right
interests,112,0.0008167611046693941,10.257798214896754,9,NNS,1,{'NNS'},0,interest
your,109,0.0007948835750800353,10.296968812177433,4,PRP$,2,"{'PRP$', 'NNP'}",1,your
he,109,0.0007948835750800353,10.296968812177433,2,PRP,1,{'PRP'},1,he
state,108,0.0007875910652169157,10.310265634790891,5,NNP,2,"{'NN', 'NNP'}",0,state
among,107,0.0007802985553537962,10.323686150553211,5,IN,1,{'IN'},0,among
both,107,0.0007802985553537962,10.323686150553211,4,DT,2,"{'DT', 'CC'}",1,both
work,105,0.000765713535627557,10.350907619288236,4,NN,4,"{'NN', 'VBN', 'VBP', 'VB'}",0,work
political,105,0.000765713535627557,10.350907619288236,9,JJ,1,{'JJ'},0,polit
some,104,0.0007584210257644374,10.364713418813267,4,DT,1,{'DT'},1,some
because,103,0.0007511285159013178,10.378652609771141,7,IN,2,"{'RB', 'IN'}",1,becaus
foreign,101,0.0007365434961750785,10.406941654202564,7,JJ,1,{'JJ'},0,foreign
powers,101,0.0007365434961750785,10.406941654202564,6,NNS,2,"{'NNS', 'NNPS'}",0,power
through,100,0.0007292509863119589,10.421296947179634,7,IN,2,"{'IN', 'JJ'}",1,through
much,98,0.0007146659665857198,10.45044329283915,4,JJ,2,"{'RB', 'JJ'}",0,much
many,98,0.0007146659665857198,10.45044329283915,4,JJ,1,{'JJ'},0,mani
policy,97,0.0007073734567226002,10.46524029476723,6,NN,1,{'NN'},0,polici
executive,97,0.0007073734567226002,10.46524029476723,9,NNP,3,"{'NN', 'NNP', 'JJ'}",0,execut
know,95,0.000692788436996361,10.49529752862341,4,VBP,5,"{'VB', 'VBN', 'VBP', 'JJ', 'VBZ'}",0,know
first,94,0.0006854959271332414,10.510564285276722,5,JJ,3,"{'VB', 'RB', 'JJ'}",0,first
within,94,0.0006854959271332414,10.510564285276722,6,IN,1,{'IN'},0,within
man,94,0.0006854959271332414,10.510564285276722,3,NN,1,{'NN'},0,man
between,93,0.0006782034172701218,10.525994325846327,7,IN,2,"{'NNP', 'IN'}",1,between
part,93,0.0006782034172701218,10.525994325846327,4,NN,1,{'NN'},0,part
human,93,0.0006782034172701218,10.525994325846327,5,JJ,3,"{'NN', 'NNP', 'JJ'}",0,human
history,93,0.0006782034172701218,10.525994325846327,7,NN,2,"{'NN', 'NNP'}",0,histori
whole,92,0.0006709109074070022,10.541591180897345,5,JJ,2,"{'NN', 'JJ'}",0,whole
progress,92,0.0006709109074070022,10.541591180897345,8,NN,3,"{'NN', 'VBP', 'VB'}",0,progress
principles,92,0.0006709109074070022,10.541591180897345,10,NNS,1,{'NNS'},0,principl
fellow-citizens,91,0.0006636183975438827,10.557358496755663,15,NNS,2,"{'NNS', 'JJ'}",0,fellow-citizen
duties,90,0.0006563258876807631,10.573300040624684,6,NNS,1,{'NNS'},0,duti
out,90,0.0006563258876807631,10.573300040624684,3,RP,3,"{'RB', 'IN', 'RP'}",1,out
god,90,0.0006563258876807631,10.573300040624684,3,NNP,3,"{'VB', 'NN', 'NNP'}",0,god
administration,90,0.0006563258876807631,10.573300040624684,14,NN,2,"{'NN', 'NNP'}",0,administr
long,89,0.0006490333778176435,10.589419705987961,4,RB,4,"{'VB', 'RB', 'NNP', 'JJ'}",0,long
